id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
18882243,12:39:00 AM,126,5872,11.76,Chip Transaction,83969,Little Rock,AR,72209,5921,NULL
18882298,12:49:00 AM,106,5310,6.13,Swipe Transaction,50783,Indianapolis,IN,46217,5411,NULL
18882308,12:51:00 AM,53,3581,17.07,Online Transaction,15143,ONLINE,NULL,NULL,4784,NULL
18882313,12:52:00 AM,472,3826,-85,Chip Transaction,61195,Round Lake,IL,60073,5541,NULL
18882358,12:04:00 AM,379,3881,3.31,Chip Transaction,28647,Mobile,AL,36693,5812,NULL
18882416,12:17:00 AM,222,4636,-88,Swipe Transaction,43293,Atlanta,GA,30309,5499,NULL
18882532,12:39:00 AM,94,2890,14.41,Online Transaction,39021,ONLINE,NULL,NULL,4784,NULL
18882578,12:48:00 AM,250,2914,3.35,Chip Transaction,39121,Lebanon,OR,97355,5411,NULL
18882596,12:51:00 AM,419,3854,2.2,Chip Transaction,22938,Atwater,CA,95301,5812,NULL
18882603,12:52:00 AM,4,303,3.12,Chip Transaction,20519,Seattle,WA,98198,5942,NULL
18882610,12:53:00 AM,185,2711,1.94,Chip Transaction,75781,Elizabeth,NJ,7202,5411,NULL
18882611,12:53:00 AM,430,2860,8.52,Swipe Transaction,61195,Crown Point,IN,46307,5541,NULL
18882633,12:57:00 AM,63,5489,8.27,Chip Transaction,17493,Newark,NJ,7103,5812,NULL
18882635,12:58:00 AM,80,4492,3.74,Chip Transaction,75936,Kalida,OH,45853,5814,NULL
18882656,12:02:00 AM,156,1334,4.41,Chip Transaction,43962,Fontana,CA,92335,5411,NULL
18882657,12:02:00 AM,184,4800,0.62,Chip Transaction,50783,Middleton,WI,53562,5411,NULL
18882685,12:07:00 AM,357,5481,8.49,Chip Transaction,12727,Jamaica Plain,MA,2130,5812,NULL
18882715,12:12:00 AM,351,1112,2.09,Chip Transaction,75781,Flushing,NY,11355,5411,NULL
18882775,12:24:00 AM,416,2445,2.11,Chip Transaction,59935,Nashville,TN,37211,5499,NULL
18882941,12:58:00 AM,47,5080,2.45,Chip Transaction,74040,Bronx,NY,10456,5411,NULL
18883092,12:27:00 AM,397,3179,45.07,Online Transaction,39021,ONLINE,NULL,NULL,4784,NULL
18883106,12:30:00 AM,356,5605,12.72,Chip Transaction,78454,Stuart,FL,34997,5812,NULL
18883151,12:38:00 AM,107,255,33.88,Swipe Transaction,59935,Alexander,AR,72002,5499,NULL
18883160,12:39:00 AM,222,4636,209,Chip Transaction,81830,Atlanta,GA,30307,5300,Insufficient Balance
18883223,12:47:00 AM,477,4168,156.73,Online Transaction,84682,ONLINE,NULL,NULL,4900,NULL
18883239,12:50:00 AM,321,293,3.74,Swipe Transaction,46284,Mosinee,WI,54455,5411,NULL
18883256,12:53:00 AM,470,3733,60,Swipe Transaction,27092,Muldrow,OK,74948,4829,NULL
18883264,12:54:00 AM,185,4046,3.78,Chip Transaction,59935,Elizabeth,NJ,7202,5499,NULL
18883266,12:54:00 AM,364,5673,17.58,Online Transaction,18563,ONLINE,NULL,NULL,4121,NULL
18883286,12:56:00 AM,80,2689,21.78,Chip Transaction,44628,Grover Hill,OH,45849,5921,NULL
18883372,12:10:00 AM,321,293,3.78,Chip Transaction,61195,Merrill,WI,54452,5541,NULL
18883454,12:24:00 AM,357,2085,37.5,Chip Transaction,25887,Boston,MA,2127,5814,NULL
18883477,12:28:00 AM,359,3567,36.37,Chip Transaction,20561,Lawrenceville,GA,30043,5912,NULL
18883605,12:46:00 AM,430,5768,45.4,Chip Transaction,59935,Crown Point,IN,46307,5499,NULL
18883610,12:47:00 AM,458,5933,176.67,Chip Transaction,14800,Phoenix,AZ,85023,5300,NULL
18883669,12:57:00 AM,147,2634,43.42,Chip Transaction,66428,Montgomery,AL,36117,4121,NULL
18883692,12:01:00 AM,229,2683,14.77,Swipe Transaction,58614,Solon,IA,52333,5812,NULL
18883760,12:12:00 AM,17,4787,8.82,Chip Transaction,5611,Hickory,NC,28602,5813,NULL
18883764,12:13:00 AM,285,2156,25.4,Chip Transaction,24823,Watsonville,CA,95076,7538,NULL
18883799,12:19:00 AM,140,152,63,Chip Transaction,5248,Whites Creek,TN,37189,5499,NULL
18883806,12:20:00 AM,459,5620,35.67,Chip Transaction,15252,Blackville,SC,29817,5300,NULL
18883820,12:22:00 AM,394,4717,17.64,Chip Transaction,59199,Stamford,CT,6906,5814,NULL
18883918,12:38:00 AM,242,1229,80,Chip Transaction,27092,Littleton,MA,1460,4829,NULL
18883946,12:43:00 AM,137,6114,8.57,Chip Transaction,35451,Johnson City,TN,37604,5812,NULL
18884088,12:05:00 AM,219,5853,-68,Chip Transaction,43293,Harrison,MI,48625,5499,NULL
18884123,12:09:00 AM,219,5853,17.25,Chip Transaction,43293,Harrison,MI,48625,5499,NULL
18884217,12:25:00 AM,425,3931,-84,Chip Transaction,22204,Carmel,CA,93923,5541,NULL
18884306,12:39:00 AM,208,4980,31.19,Chip Transaction,88922,Bothell,WA,98021,4121,NULL
18884335,12:45:00 AM,98,4237,36.16,Chip Transaction,19756,Edwardsville,IL,62025,7832,NULL
18884380,12:53:00 AM,490,5133,353.84,Online Transaction,52100,ONLINE,NULL,NULL,7801,NULL
18884391,12:56:00 AM,92,5947,93.62,Chip Transaction,18818,Sioux Falls,SD,57106,5912,NULL
18884406,12:59:00 AM,75,3781,33.5,Online Transaction,41122,ONLINE,NULL,NULL,4784,NULL
18884530,12:28:00 AM,323,2467,28.32,Chip Transaction,27601,Fresno,CA,93725,7538,NULL
18884534,12:29:00 AM,285,2156,30,Chip Transaction,13646,Watsonville,CA,95076,7538,NULL
18884552,12:33:00 AM,490,5963,133.1,Chip Transaction,34702,San Antonio,TX,78230,5310,NULL
18884566,12:37:00 AM,479,1332,46.5,Chip Transaction,65627,Pasadena,MD,21122,5813,NULL
18884586,12:44:00 AM,240,2147,5.98,Chip Transaction,20561,Morristown,TN,37814,5912,NULL
18884598,12:47:00 AM,208,4980,-71,Chip Transaction,43293,Bothell,WA,98021,5499,NULL
18884602,12:48:00 AM,176,6026,40,Chip Transaction,27092,Atlanta,GA,30339,4829,NULL
18884615,12:50:00 AM,476,1070,85,Chip Transaction,59935,Alburtis,PA,18011,5499,NULL
18884624,12:51:00 AM,395,3950,50.29,Chip Transaction,11468,Arlington,TX,76010,5970,NULL
18884635,12:53:00 AM,198,3177,46.57,Online Transaction,38958,ONLINE,NULL,NULL,7801,NULL
18884685,12:03:00 AM,84,5750,17.22,Swipe Transaction,32858,Hendersonville,NC,28739,5311,NULL
18884731,12:13:00 AM,300,3814,-87,Chip Transaction,43293,Monroe,CT,6468,5499,NULL
18884732,12:13:00 AM,369,5378,63.59,Online Transaction,39021,ONLINE,NULL,NULL,4784,NULL
18884769,12:21:00 AM,172,3458,71.27,Chip Transaction,52957,Decatur,IL,62521,5300,NULL
18884791,12:27:00 AM,52,4976,10.61,Online Transaction,88459,ONLINE,NULL,NULL,5311,NULL
18884869,12:45:00 AM,293,4260,32.01,Swipe Transaction,89069,Perry,OK,73077,5251,NULL
18884874,12:47:00 AM,125,2023,37.78,Swipe Transaction,64826,Modesto,CA,95351,7349,NULL
18884903,12:51:00 AM,86,4041,100,Chip Transaction,27092,Clarkston,GA,30021,4829,NULL
18884928,12:56:00 AM,327,3062,68,Online Transaction,39021,ONLINE,NULL,NULL,4784,NULL
18884961,12:03:00 AM,96,5175,97,Swipe Transaction,61195,Yorba Linda,CA,92886,5541,Insufficient Balance
18884968,12:04:00 AM,459,5620,83.58,Chip Transaction,20561,Fairfax,SC,29827,5912,NULL
18885029,12:14:00 AM,460,2460,80,Swipe Transaction,27092,Port Chester,NY,10573,4829,Insufficient Balance
18885094,12:30:00 AM,177,3653,4.5,Chip Transaction,86765,Memphis,TN,38104,5813,NULL
18885160,12:43:00 AM,52,4976,137.01,Chip Transaction,22375,Pawling,NY,12564,5411,NULL
18885178,12:47:00 AM,315,3121,13.23,Chip Transaction,8072,Massillon,OH,44646,5411,NULL
18885239,12:58:00 AM,349,4314,77.21,Chip Transaction,5692,North Lawrence,OH,44666,7538,NULL
18885270,12:06:00 AM,53,3581,21.2,Online Transaction,15143,ONLINE,NULL,NULL,4784,NULL
18885273,12:06:00 AM,474,2218,95,Chip Transaction,43293,San Diego,CA,92153,5499,NULL
18885287,12:09:00 AM,464,3233,100,Chip Transaction,27092,Orlando,FL,32807,4829,NULL
18885325,12:20:00 AM,206,3053,56.5,Chip Transaction,20884,Grand Rapids,MI,49548,5812,Insufficient Balance
18885350,12:28:00 AM,250,5136,36.04,Swipe Transaction,75936,Lebanon,OR,97355,5814,NULL
18885355,12:29:00 AM,331,3818,-67,Chip Transaction,22204,Andrews,SC,29510,5541,NULL
18885417,12:48:00 AM,250,2793,116.56,Chip Transaction,3654,Lebanon,OR,97355,4900,NULL
18885440,12:55:00 AM,359,2489,36.06,Swipe Transaction,73193,Lawrenceville,GA,30043,5651,NULL
18885448,12:57:00 AM,366,2934,30.24,Online Transaction,18563,ONLINE,NULL,NULL,4121,NULL
18885475,12:06:00 AM,468,5532,31.45,Chip Transaction,78454,Iowa City,IA,52240,5812,NULL
18885479,12:07:00 AM,452,4249,34.85,Online Transaction,41122,ONLINE,NULL,NULL,4784,NULL
18885499,12:13:00 AM,89,2640,20.24,Chip Transaction,23801,Mesilla Park,NM,88047,5813,NULL
18885500,12:13:00 AM,379,2019,21.84,Chip Transaction,16851,Mobile,AL,36693,5813,NULL
18885526,12:22:00 AM,116,4899,31.92,Chip Transaction,91836,Honeoye Falls,NY,14472,4121,NULL
18885566,12:36:00 AM,134,6080,233.27,Chip Transaction,38644,Fort Bliss,TX,79916,7996,NULL
18885613,12:50:00 AM,104,4205,40.67,Swipe Transaction,75936,Grand Prairie,TX,75050,5814,NULL
18885658,12:04:00 AM,247,5191,4.99,Chip Transaction,8327,Lake Charles,LA,70605,5813,NULL
18885662,12:05:00 AM,456,2800,62.79,Online Transaction,50404,ONLINE,NULL,NULL,4784,NULL
18885704,12:16:00 AM,3,2157,0.99,Chip Transaction,19964,Burkburnett,TX,76354,5311,NULL
18885758,12:36:00 AM,170,5985,44.53,Chip Transaction,36934,Wynnewood,OK,73098,7538,NULL
18885759,12:36:00 AM,376,4704,23.87,Chip Transaction,87071,Vincentown,NJ,8088,4121,NULL
18885766,12:38:00 AM,45,5009,26.84,Swipe Transaction,3065,Clifton,NJ,7012,5813,NULL
18885767,12:38:00 AM,354,4518,80,Chip Transaction,61195,Colorado Springs,CO,80918,5541,NULL
18885779,12:41:00 AM,184,2722,9.59,Chip Transaction,100340,Edgerton,WI,53534,5812,NULL
18885790,12:44:00 AM,356,3132,74.67,Swipe Transaction,31883,Atlantic City,NJ,8401,7995,NULL
18885808,12:51:00 AM,473,5099,40.17,Chip Transaction,88646,Detroit,MI,48235,5812,NULL
18885813,12:53:00 AM,494,3273,3.27,Chip Transaction,75781,North Beach,MD,20714,5411,NULL
18885835,12:01:00 AM,451,5810,125.7,Chip Transaction,24450,Omaha,NE,68107,4900,NULL
18885954,12:41:00 AM,212,4145,122.53,Chip Transaction,63182,Dallas,TX,75227,4900,NULL
18886013,12:06:00 AM,157,969,54.3,Chip Transaction,78454,Perris,CA,92571,5812,NULL
18886014,12:06:00 AM,478,135,14.45,Swipe Transaction,32606,Decatur,GA,30034,7832,NULL
18886022,12:08:00 AM,323,5977,70,Chip Transaction,59935,Fresno,CA,93726,5499,NULL
18886033,12:15:00 AM,474,2218,-368,Chip Transaction,59474,San Diego,CA,92154,3722,NULL
18886043,12:17:00 AM,356,3132,43.4,Chip Transaction,78454,Stuart,FL,34997,5812,NULL
18886067,12:26:00 AM,241,3921,50.49,Swipe Transaction,92883,Rockingham,NC,28379,5812,NULL
18886074,12:29:00 AM,323,5977,12.55,Chip Transaction,59935,Fresno,CA,93726,5499,NULL
18886174,12:02:00 AM,469,2686,7.96,Chip Transaction,86026,Placentia,CA,92870,5411,NULL
18886191,12:09:00 AM,402,2698,53.9,Swipe Transaction,31883,Atlantic City,NJ,8401,7995,NULL
18886209,12:15:00 AM,335,5131,70.02,Chip Transaction,97421,Palm Beach Gardens,FL,33410,5812,NULL
18886213,12:16:00 AM,94,2890,16.83,Chip Transaction,18782,Amsterdam,Netherlands,NULL,5812,NULL
18886252,12:29:00 AM,194,4273,26.39,Chip Transaction,22204,Fountain City,IN,47341,5541,NULL
18886280,12:40:00 AM,462,3957,28.66,Chip Transaction,5048,Bethlehem,PA,18015,5813,NULL
18886284,12:41:00 AM,42,4859,7.73,Chip Transaction,3829,Valdosta,GA,31601,5812,NULL
18886307,12:51:00 AM,217,1266,24.75,Chip Transaction,88646,Aurora,IL,60502,5812,NULL
18886374,12:40:00 AM,479,1332,1.51,Swipe Transaction,14528,Pasadena,MD,21122,5499,NULL
18886387,12:52:00 AM,234,2052,60,Chip Transaction,27092,Dallas,TX,75208,4829,NULL
18886400,12:15:00 AM,86,3178,31.19,Online Transaction,39021,ONLINE,NULL,NULL,4784,NULL
18886448,12:18:00 AM,491,2483,42.71,Chip Transaction,50783,Greenville,SC,29611,5411,NULL
18886465,12:45:00 AM,476,1070,42.95,Online Transaction,73186,ONLINE,NULL,NULL,4814,NULL
18886490,12:27:00 AM,474,4034,50.1,Chip Transaction,25857,Williston Park,NY,11596,5812,NULL
18886530,12:23:00 AM,57,6006,65.98,Chip Transaction,75900,Tucson,AZ,85741,5411,NULL
18886634,12:01:00 AM,32,5382,60,Chip Transaction,27092,Derry,PA,15627,4829,Insufficient Balance
18886644,12:03:00 AM,149,3590,160,Chip Transaction,27092,San Diego,CA,92128,4829,NULL
18886658,12:06:00 AM,278,5619,110.68,Chip Transaction,86410,Houston,TX,77056,5211,NULL
18886687,12:15:00 AM,17,4962,111.86,Chip Transaction,26810,Hickory,NC,28602,5541,NULL
18886716,12:25:00 AM,497,2829,58.57,Online Transaction,73186,ONLINE,NULL,NULL,4814,NULL
18886719,12:26:00 AM,86,4041,-76,Chip Transaction,22204,Allendale,SC,29810,5541,NULL
18886721,12:27:00 AM,116,6072,320.51,Online Transaction,43422,ONLINE,NULL,NULL,6300,NULL
18886749,12:38:00 AM,329,3069,89.81,Chip Transaction,20083,Carpinteria,CA,93014,5912,NULL
18886763,12:44:00 AM,230,5033,8.9,Swipe Transaction,20519,Shreveport,LA,71115,5942,NULL
18886793,12:51:00 AM,112,1134,42.04,Chip Transaction,83743,Walnutport,PA,18088,7538,NULL
18886797,12:52:00 AM,138,2820,80,Chip Transaction,27092,Sarver,PA,16055,4829,NULL
18886802,12:54:00 AM,242,1229,9.37,Chip Transaction,15791,Great Barrington,MA,1230,5300,NULL
18886863,12:06:00 AM,303,6010,87.56,Chip Transaction,86165,Windsor,CO,80550,5912,NULL
18886913,12:18:00 AM,220,3954,44.42,Chip Transaction,26810,Novato,CA,94949,5541,NULL
18886925,12:20:00 AM,220,3954,92,Chip Transaction,26810,Novato,CA,94949,5541,NULL
18886951,12:26:00 AM,249,4292,43.92,Swipe Transaction,92007,Rialto,CA,92376,5411,NULL
18886961,12:28:00 AM,376,1262,6.14,Swipe Transaction,75781,Vincentown,NJ,8088,5411,NULL
18886962,12:28:00 AM,477,2692,-74,Swipe Transaction,59935,Greenville,ME,4441,5499,NULL
18886992,12:34:00 AM,464,3233,61.66,Online Transaction,50404,ONLINE,NULL,NULL,4784,NULL
18887031,12:41:00 AM,237,3574,5.75,Swipe Transaction,12528,Antioch,CA,94531,5310,NULL
18887098,12:56:00 AM,370,5376,12.97,Chip Transaction,46025,Ontario,CA,91764,5912,NULL
18887127,12:03:00 AM,197,2357,2.56,Chip Transaction,84026,Wilmore,KY,40390,5411,NULL
18887192,12:17:00 AM,319,248,96.98,Chip Transaction,35652,Fresno,CA,93727,5300,NULL
18887221,12:23:00 AM,329,1362,3.11,Swipe Transaction,75781,Moorpark,CA,93021,5411,NULL
18887266,12:37:00 AM,460,4534,9.8,Chip Transaction,43293,Irvington,NY,10533,5499,NULL
18887274,12:38:00 AM,197,1302,1.14,Swipe Transaction,49789,Wilmore,KY,40390,5541,NULL
18887304,12:44:00 AM,474,4034,15.97,Chip Transaction,75781,Williston Park,NY,11596,5411,NULL
18887352,12:54:00 AM,137,1335,70.1,Chip Transaction,48795,Johnson City,TN,37604,5912,NULL
18887357,12:55:00 AM,374,3791,3.4,Chip Transaction,37141,Sacramento,CA,95823,7538,NULL
18887396,12:03:00 AM,142,1046,109.52,Chip Transaction,20165,Kingston,Jamaica,NULL,5621,NULL
18887408,12:07:00 AM,199,1031,0.15,Chip Transaction,14528,Allen,TX,75002,5499,NULL
18887482,12:25:00 AM,64,5429,7.61,Chip Transaction,34196,Whittier,CA,90601,5812,NULL
18887524,12:34:00 AM,155,279,92.43,Swipe Transaction,59651,Hattiesburg,MS,39401,8043,NULL
18887545,12:38:00 AM,63,5489,7.72,Chip Transaction,50783,Newark,NJ,7103,5411,NULL
18887564,12:43:00 AM,261,6129,5.6,Chip Transaction,78454,Henderson,NV,89011,5812,NULL
18887655,12:05:00 AM,144,4457,41.7,Chip Transaction,59935,Hot Springs National Park,AR,71913,5499,NULL
18887692,12:12:00 AM,4,5391,29.67,Chip Transaction,20519,Seattle,WA,98198,5942,NULL
18887709,12:16:00 AM,144,4457,-84,Chip Transaction,59935,Hot Springs National Park,AR,71913,5499,NULL
18887787,12:36:00 AM,150,5775,46.01,Chip Transaction,31893,Lorton,VA,22079,5311,NULL
18887788,12:36:00 AM,256,1276,22.77,Chip Transaction,72036,Zebulon,NC,27597,4121,NULL
18887796,12:37:00 AM,112,1134,20.56,Chip Transaction,49789,Wind Gap,PA,18091,5541,NULL
18887828,12:43:00 AM,112,1134,53,Chip Transaction,49789,Wind Gap,PA,18091,5541,NULL
18887920,12:00:00 AM,89,2998,34.34,Online Transaction,81759,ONLINE,NULL,NULL,7349,NULL
18887923,12:01:00 AM,391,3616,11.46,Chip Transaction,83480,Myrtle Beach,SC,29579,9402,NULL
18887928,12:02:00 AM,332,1198,44.61,Chip Transaction,38763,Shelbyville,IN,46176,7230,NULL
18888105,12:41:00 AM,323,4268,35.6,Chip Transaction,69965,Las Vegas,NV,89109,7995,NULL
18888122,12:43:00 AM,47,5080,68.46,Chip Transaction,91128,Bronx,NY,10457,5411,NULL
18888136,12:46:00 AM,303,4783,69.77,Chip Transaction,11468,Greeley,CO,80634,5970,NULL
18888155,12:49:00 AM,94,2890,99.54,Online Transaction,88459,ONLINE,NULL,NULL,5311,NULL
18888268,12:12:00 AM,94,2890,15.08,Chip Transaction,75606,Amsterdam,Netherlands,NULL,5411,NULL
18888360,12:30:00 AM,441,5223,42.65,Chip Transaction,13523,Woodstock,GA,30188,5310,Insufficient Balance
18888395,12:37:00 AM,28,2678,31.18,Chip Transaction,71667,Woodbridge,VA,22191,7538,NULL
18888404,12:38:00 AM,327,5512,53.21,Online Transaction,73186,ONLINE,NULL,NULL,4814,NULL
18888493,12:59:00 AM,47,4952,66.39,Chip Transaction,36392,Bronx,NY,10456,5912,NULL
18888549,12:09:00 AM,138,4608,5.28,Chip Transaction,10792,Penn Run,PA,15765,5411,NULL
18888571,12:13:00 AM,110,4103,37.52,Online Transaction,81759,ONLINE,NULL,NULL,7349,NULL
18888583,12:15:00 AM,98,4143,6.74,Swipe Transaction,61195,Danville,IL,61832,5541,NULL
18888590,12:16:00 AM,242,2315,80,Chip Transaction,27092,Littleton,MA,1460,4829,NULL
18888645,12:26:00 AM,428,1351,6.06,Chip Transaction,36159,Manchester,NH,3104,5411,NULL
18888660,12:28:00 AM,468,5532,100,Swipe Transaction,27092,Marion,IA,52302,4829,NULL
18888699,12:37:00 AM,147,2634,30.01,Chip Transaction,78360,Montgomery,AL,36117,5310,NULL
18888702,12:37:00 AM,468,4705,8.95,Swipe Transaction,68824,Iowa City,IA,52240,8011,NULL
18888761,12:50:00 AM,313,3153,65,Chip Transaction,43293,Bartlesville,OK,74003,5499,NULL
18888790,12:54:00 AM,235,1333,94.66,Chip Transaction,20561,New York,NY,10025,5912,NULL
18888830,12:04:00 AM,32,1087,2.68,Chip Transaction,4439,Johnstown,PA,15905,5651,NULL
18888843,12:07:00 AM,107,5349,15.32,Swipe Transaction,48816,Wickes,AR,71973,5651,NULL
18888892,12:18:00 AM,442,141,12.61,Chip Transaction,83480,Barnhart,MO,63012,9402,NULL
18888894,12:19:00 AM,59,2087,34.32,Chip Transaction,13371,Silver City,NM,88062,5912,NULL
18888902,12:22:00 AM,287,3527,39.61,Swipe Transaction,62640,Hitchcock,TX,77563,7832,NULL
18888908,12:24:00 AM,16,4093,23.4,Online Transaction,16798,ONLINE,NULL,NULL,4121,NULL
18888922,12:27:00 AM,32,5382,117.66,Chip Transaction,30286,Bradenville,PA,15620,4814,NULL
18888923,12:27:00 AM,374,3791,25.84,Online Transaction,23329,ONLINE,NULL,NULL,5193,NULL
18888931,12:28:00 AM,490,5963,387.44,Chip Transaction,14306,San Antonio,TX,78230,7995,NULL
18888940,12:30:00 AM,51,6031,38.23,Swipe Transaction,80615,Hendersonville,TN,37075,5411,NULL
18888950,12:32:00 AM,394,4341,35.5,Swipe Transaction,1967,Stamford,CT,6907,5813,NULL
18888969,12:36:00 AM,3,3597,62.01,Chip Transaction,78680,Wichita Falls,TX,76301,5411,NULL
18889007,12:43:00 AM,488,4817,12.96,Online Transaction,9932,ONLINE,NULL,NULL,5311,NULL
18889037,12:49:00 AM,346,5927,-51,Swipe Transaction,59935,Santa Barbara,CA,93103,5499,NULL
18889045,12:51:00 AM,107,255,38.35,Swipe Transaction,48816,Wickes,AR,71973,5651,NULL
18889058,12:53:00 AM,112,3470,48.71,Online Transaction,39021,ONLINE,NULL,NULL,4784,NULL
18889063,12:54:00 AM,280,2959,90,Swipe Transaction,43293,Richmond,CA,94804,5499,NULL
18889104,12:03:00 AM,349,4314,36.72,Chip Transaction,20561,Orrville,OH,44667,5912,NULL
18889116,12:06:00 AM,478,135,88.11,Swipe Transaction,86493,Suwanee,GA,30024,4900,NULL
18889164,12:18:00 AM,455,348,73.18,Chip Transaction,60569,East Northport,NY,11731,5300,NULL
18889173,12:19:00 AM,464,3233,1.66,Chip Transaction,14528,Orlando,FL,32808,5499,NULL
18889196,12:24:00 AM,496,3428,19.3,Chip Transaction,45344,Mesquite,TX,75149,5813,NULL
18889217,12:27:00 AM,329,4788,12.25,Chip Transaction,88646,Moorpark,CA,93021,5812,NULL
18889278,12:41:00 AM,89,2640,46.47,Chip Transaction,11040,Mesilla Park,NM,88047,5310,NULL
18889304,12:46:00 AM,119,5928,7.26,Chip Transaction,47588,Fullerton,CA,92835,5812,NULL
18889324,12:52:00 AM,416,180,199.63,Online Transaction,73186,ONLINE,NULL,NULL,4814,NULL
18889336,12:54:00 AM,419,4111,67.4,Swipe Transaction,97568,Murphys,CA,95247,5651,NULL
18889342,12:55:00 AM,350,2865,70.89,Chip Transaction,34490,Chevy Chase,MD,20815,5719,NULL
18889407,12:06:00 AM,32,5382,19.25,Online Transaction,39021,ONLINE,NULL,NULL,4784,NULL
18889414,12:08:00 AM,123,197,55.01,Chip Transaction,20561,Griffin,GA,30224,5912,NULL
18889423,12:10:00 AM,349,4314,0.64,Swipe Transaction,86438,Orrville,OH,44667,5499,NULL
18889444,12:14:00 AM,432,4301,11.14,Chip Transaction,83480,Newton,NC,28658,9402,NULL
18889460,12:18:00 AM,96,3695,79.66,Chip Transaction,43293,Yorba Linda,CA,92887,5499,NULL
18889467,12:19:00 AM,73,2660,207.8,Chip Transaction,60532,Rockland,MA,2370,4900,NULL
18889482,12:22:00 AM,464,3233,1.38,Chip Transaction,14528,Orlando,FL,32808,5499,NULL
18889586,12:44:00 AM,464,3233,91.25,Chip Transaction,94625,Cocoa Beach,FL,32931,5661,NULL
18889616,12:49:00 AM,267,4411,29.66,Chip Transaction,24823,Morehead,KY,40351,7538,NULL
18889644,12:55:00 AM,265,2305,5.62,Swipe Transaction,35451,Corpus Christi,TX,78418,5812,NULL
18889677,12:00:00 AM,441,5223,12.06,Chip Transaction,60569,Fairburn,GA,30213,5300,NULL
18889715,12:13:00 AM,140,3041,25.01,Chip Transaction,29100,Nashville,TN,37205,7832,NULL
18889792,12:38:00 AM,45,5009,1.59,Online Transaction,16798,ONLINE,NULL,NULL,4121,NULL
18889797,12:39:00 AM,171,1239,54.69,Chip Transaction,86410,Greenville,SC,29611,5211,NULL
18889798,12:39:00 AM,300,3814,40.38,Chip Transaction,57926,Newtown,CT,6470,7832,NULL
18889802,12:40:00 AM,206,3053,50.99,Chip Transaction,18878,Wyoming,MI,49519,5812,NULL
18889849,12:58:00 AM,322,5365,27.44,Chip Transaction,90429,Camilla,GA,31730,5655,NULL
18889896,12:10:00 AM,172,3458,23.9,Swipe Transaction,1650,Decatur,IL,62521,5812,NULL
18889916,12:20:00 AM,161,3096,15.83,Chip Transaction,44919,Waco,TX,76707,5814,NULL
18889928,12:24:00 AM,126,5497,31.82,Chip Transaction,87324,Blytheville,AR,72315,7832,NULL
18889949,12:31:00 AM,62,2425,36.2,Chip Transaction,78454,Auburn,CA,95602,5812,NULL
18890070,12:17:00 AM,487,2024,88.23,Chip Transaction,23481,Quakertown,PA,18951,5812,NULL
18890091,12:24:00 AM,414,3958,162.5,Chip Transaction,9563,Morristown,NJ,7960,5300,NULL
